Cancertype	Major_Cancer	Type	subtype	Originated
BCC	BCC	Carcinoma	Basalcell	Epithelial_Originated
BLCA	BLCA	Carcinoma	Epithelial	Epithelial_Originated
BRCA	BRCA	Carcinoma	Epithelial	Epithelial_Originated
Breast	Breast	Healthy	Healthy	Healthy_derived
CESC	CESC	Carcinoma	Epithelial	Epithelial_Originated
CHOL	CHOL	Carcinoma	Epithelial	Epithelial_Originated
CRC	CRC	Carcinoma	Epithelial	Epithelial_Originated
ESCA	ESCA	Carcinoma	Epithelial	Epithelial_Originated
GIST	GIST	Sarcomas	Mesenchymal	Sarcomas
HNSC	HNSC	Carcinoma	Epithelial	Epithelial_Originated
Kidney	Kidney	Healthy	Epithelial	Healthy_derived
KIPAN	KIPAN	Carcinoma	Epithelial	Epithelial_Originated
KIRC	KIPAN	Carcinoma	Epithelial	Epithelial_Originated
LIHC	LIHC	Carcinoma	Epithelial	Epithelial_Originated
Live	Live	Healthy	Healthy	Healthy_derived
LSCC	HNSC	Carcinoma	Epithelial	Epithelial_Originated
LUAD	NSCLC	Carcinoma	Epithelial	Epithelial_Originated
MCC	MCC	Carcinoma	Neuroendocrine	Neuroendocrine
NPC	HNSC	Carcinoma	Epithelial	Epithelial_Originated
NSCLC	NSCLC	Carcinoma	Epithelial	Epithelial_Originated
Oral	Oral	Healthy	Healthy	Healthy_derived
OS	OS	Sarcomas	osteosarcoma	Sarcomas
OSCC	HNSC	Carcinoma	Epithelial	Epithelial_Originated
OV	OV	Carcinoma	Epithelial	Epithelial_Originated
Ovary	Ovary	Healthy	Healthy	Healthy_derived
PAAD	PAAD	Carcinoma	Epithelial	Epithelial_Originated
PBMC	PBMC	Healthy	Healthy	Healthy_derived
PRAD	PRAD	Carcinoma	Epithelial	Epithelial_Originated
SCC	SCC	Carcinoma	Epithelial	Epithelial_Originated
SCLC	SCLC	Carcinoma	Neuroendocrine	Neuroendocrine
SKCM	SKCM	Melanomas	Melanomas	Melanoma
STAD	STAD	Carcinoma	Epithelial	Epithelial_Originated
THCA	THCA	Carcinoma	Epithelial	Epithelial_Originated
UCEC	UCEC	Carcinoma	Epithelial	Epithelial_Originated
UVM	UVM	Melanomas	Melanomas	Melanoma
